"run_id","solution_id","blm","status","runtime","gap","cost","fragmentation"
1,1,0,"optimal",0.410000085830688,0,1471272,3132887.40369549
2,2,1e-05,"optimal",1.58500003814697,0,1471272,3132887.40369549
3,3,1e-04,"optimal",0.692999839782715,0,1471274,3101571.24331399
4,4,0.001,"optimal",0.848000049591064,0,1471275.98373781,3093331.30278549
5,5,0.01,"optimal",1.92400002479553,0,1472732,2833622.64572749
6,8,0.02,"optimal",0.792999982833862,0,1476289,2585514.45417299
7,9,0.05,"optimal",1.63499999046326,0,1496022,1984768.99235948
8,6,0.1,"optimal",4.48099994659424,0,1537824,1447813.54134749
9,7,1,"optimal",73.2950000762939,0,1743047,710325.189082488
