"run_id","solution_id","epsilon_fragmentation","status","runtime","gap","cost","fragmentation"
1,1,710325.189082488,"optimal",146.384000062943,0,1743047,710325.189082488
2,2,1056405.50545577,"optimal",351.241999864578,0,1593609,1056232.056613
3,3,1402485.82182906,"optimal",61.702999830246,0,1542810,1402407.07197048
4,4,1748566.13820235,"optimal",6.18899989128113,0,1511220,1748457.94473598
5,5,2094646.45457563,"optimal",26.2660000324249,0,1490829,2094594.57214698
6,6,2440726.77094892,"optimal",1.93199992179871,0,1479401,2439844.69913898
7,7,2786807.08732221,"optimal",3.31900000572205,0,1473229,2786756.91626949
8,8,3132887.40369549,"optimal",0.789999961853027,0,1471272,3132887.40369549
